"","lon","lat","date","status","analysed_sst","analysis_error","mask","sea_ice_fraction"
"1",92.9510277975351,14.8657129296693,2014-05-13,TRUE,303.636,0.41,1,NA
"2",-88.9647757820785,-75.930659323213,2009-12-02,TRUE,NA,NA,2,NA
"3",-120.887598088011,31.5780139493259,2018-06-14,TRUE,289.225,0.41,1,NA
"4",171.541458321735,-41.2007339596351,2008-10-25,TRUE,286.119,0.38,1,NA
"5",129.279352258891,-9.88034816659871,2012-10-03,TRUE,301.217,0.38,1,NA
"6",169.332774952054,14.0761331663918,2012-10-01,TRUE,302.309,0.38,1,NA
"7",-5.62197455205023,55.2056841231817,2009-05-24,TRUE,282.679,0.37,1,0
"8",-63.6167880613357,33.4418779746813,2009-11-19,TRUE,296.097,0.39,1,NA
"9",14.2064505536109,66.7054695994017,2007-12-18,TRUE,279.85,0.36,5,NA
"10",-14.1415586136281,14.5381937945667,2003-01-05,TRUE,NA,NA,2,NA
"11",87.6053355261683,-76.4977990844892,2007-07-18,TRUE,NA,NA,2,NA
"12",29.507168456912,46.6259925361306,2019-04-01,TRUE,NA,NA,2,NA
"13",-67.9149004351348,-37.7855983375582,2005-06-25,TRUE,NA,NA,2,NA
"14",10.5497940815985,-2.48848299204215,2010-05-02,TRUE,NA,NA,2,NA
"15",148.341663116589,-10.899424316752,2011-11-16,TRUE,300.874,0.37,1,NA
"16",96.796887461096,-26.8770385533285,2018-10-09,TRUE,293.005,0.38,1,NA
"17",-44.0838895831257,-47.348102003015,2009-01-10,TRUE,286.904,0.37,1,0
"18",-124.53926791437,24.5688694614,2016-06-07,TRUE,294.383,0.4,1,NA
"19",130.200543450192,29.9967827212463,2020-02-13,TRUE,294.736,0.41,1,NA
"20",7.0306717325002,22.2276132896742,2013-01-14,TRUE,NA,NA,2,NA
"21",-163.994086682796,-33.3554775582313,2004-06-20,TRUE,291.148,0.38,1,NA
"22",-163.706746660173,66.0093443332723,2010-05-13,TRUE,NA,NA,2,NA
"23",-120.096690841019,8.22568336939987,2006-10-18,TRUE,301.063,0.4,1,NA
"24",-64.5919877104461,-10.8242805392827,2009-07-02,TRUE,NA,NA,2,NA
"25",80.3877144958824,57.1035107022193,2010-02-23,TRUE,NA,NA,2,NA
"26",85.2395534142852,-48.0036628565311,2017-08-16,TRUE,279.495,0.39,1,NA
"27",38.5044844541699,-6.89374253202453,2010-06-19,TRUE,NA,NA,2,NA
"28",-104.433776736259,-10.9433788123359,2004-05-21,TRUE,299.296,0.39,1,NA
"29",-30.005863616243,22.1669171207627,2013-08-18,TRUE,297.677,0.37,1,NA
"30",99.3184416275471,14.4087994102293,2003-07-24,TRUE,NA,NA,2,NA
"31",92.4083611741662,-9.29943197105718,2012-05-09,TRUE,302.403,0.39,1,NA
"32",63.6272689606994,17.4235904333146,2009-02-12,TRUE,298.2,0.38,1,NA
"33",117.683882731944,-40.3092265150964,2005-06-26,TRUE,285.164,0.37,1,NA
"34",55.3702741675079,-10.9250031909071,2020-11-17,TRUE,300.518,0.37,1,NA
"35",-176.095551503822,16.4467329285524,2003-10-03,TRUE,302.853,0.37,1,NA
"36",34.5525334496051,3.43967311389572,2019-12-20,TRUE,NA,NA,2,NA
"37",-94.5919503830373,1.03516609458372,2015-01-16,TRUE,298.107,0.39,1,NA
"38",131.085887001827,-77.856191021607,2006-09-05,TRUE,NA,NA,2,NA
"39",-24.1223026905209,-7.29874362312949,2004-08-19,TRUE,298.635,0.38,1,NA
"40",-117.73285869509,82.3099516842527,2014-02-04,TRUE,271.35,0.35,9,1
"41",131.975514711812,40.2321670098501,2007-01-23,TRUE,277.315,0.38,1,0
"42",-145.62067816034,-50.2932980663831,2013-03-13,TRUE,284.226,0.37,1,0
"43",112.518787365407,-32.6750612279035,2019-07-18,TRUE,291.118,0.37,1,NA
"44",-8.01001975312829,-57.8597586694187,2014-07-05,TRUE,271.497,0.37,9,0.73
"45",72.2989407274872,-39.5068673602029,2013-07-02,TRUE,286.599,0.37,1,NA
"46",53.9002614375204,60.1925141374654,2005-12-06,TRUE,NA,NA,2,NA
"47",7.89122278802097,-2.11737444664548,2009-04-08,TRUE,302.143,0.39,1,NA
"48",-136.716611506417,-53.3941088394008,2014-05-09,TRUE,279.387,0.37,1,0
"49",-143.601832576096,-15.5083999273158,2004-07-11,TRUE,300.37,0.38,1,NA
"50",141.81743402034,64.2589938247705,2016-11-17,TRUE,NA,NA,2,NA
"51",150.416400572285,-69.9185990635524,2020-08-27,TRUE,NA,NA,2,NA
"52",-71.1230950802565,51.504328991996,2010-07-24,TRUE,NA,NA,2,NA
"53",-31.2315980158746,-67.0988006686398,2014-11-26,TRUE,271.381,0.36,9,0.69
"54",67.6420767791569,14.0459800823637,2017-12-06,TRUE,300.286,0.38,1,NA
"55",0.537639996036887,19.821036094852,2011-11-16,TRUE,NA,NA,2,NA
"56",156.607846906409,10.0239226417092,2018-11-02,TRUE,303.129,0.37,1,NA
"57",82.9253689572215,35.9474976147676,2013-08-23,TRUE,NA,NA,2,NA
"58",-136.719332104549,60.2736438372765,2007-07-02,TRUE,NA,NA,2,NA
"59",100.541962534189,73.177050622961,2003-04-15,TRUE,NA,NA,2,NA
"60",-142.766966689378,62.7311953569888,2004-02-21,TRUE,NA,NA,2,NA
"61",9.2076170258224,30.2507981286688,2007-03-28,TRUE,NA,NA,2,NA
"62",-36.2631449382752,62.2723834635583,2019-11-01,TRUE,279.694,0.36,1,NA
"63",55.4574536718428,-9.90326231908922,2018-03-02,TRUE,302.021,0.4,1,NA
"64",126.882321825251,67.2620016855417,2013-08-09,TRUE,NA,NA,2,NA
"65",-84.2958887480199,29.9918976366442,2019-07-20,TRUE,303.791,0.41,1,NA
"66",-106.785449422896,29.5739059128203,2013-09-15,TRUE,NA,NA,2,NA
"67",-49.8094357922673,15.4591751378485,2009-03-17,TRUE,298.148,0.37,1,NA
"68",3.06775786913931,-3.07319307681407,2017-04-08,TRUE,302.705,0.38,1,NA
"69",155.328162554651,-34.6737982162673,2013-10-02,TRUE,291.745,0.37,1,NA
"70",15.0396143272519,-55.1653998723237,2015-05-11,TRUE,273.846,0.37,1,0
"71",-40.3251433745027,-7.70129812383385,2016-12-18,TRUE,NA,NA,2,NA
"72",-69.7993095964193,19.9663266836496,2007-10-25,TRUE,302.346,0.38,1,NA
"73",-145.10969504714,48.7685337780359,2017-06-16,TRUE,283.035,0.37,1,NA
"74",-68.4133520163596,52.4322466401806,2009-07-20,TRUE,NA,NA,2,NA
